idna_subject,checker_type,destination,tested_at
"anmar-pl.com,honia.pl,mech-masz.com.pl,top123.pl",AVAILABILITY,origin.list,2023-02-03 05:20:52.143010
"archiwa.gov.pl,noria.pl",AVAILABILITY,origin.list,2023-02-03 05:20:52.339829
"amix.pl,company.pl,gufik.pl,jakoscobslugi.pl,mrn.pl",AVAILABILITY,origin.list,2023-02-03 05:20:52.539234
"antyradio.pl,azorek.pl,chillizet.pl,meloradio.pl,planeta.fm,radiostacja.pl,radiozet.pl",AVAILABILITY,origin.list,2023-02-03 05:20:52.764581
"antywirus.biz,translinegroup.pl",AVAILABILITY,origin.list,2023-02-03 05:20:52.809119
"arch.kpcen.pl,laboratoria.net",AVAILABILITY,origin.list,2023-02-03 05:20:52.946441
"archiwum.szubin.pl,dok.org.pl,powiatlobeski.pl,szamotuly.pl",AVAILABILITY,origin.list,2023-02-03 05:20:53.152598
"apartamentywkarpaczu.eu,hotelkrynica.eu,nosalowy-dwor.eu",AVAILABILITY,origin.list,2023-02-03 05:20:53.204726
"apra.pl,przegladlokalny.eu",AVAILABILITY,origin.list,2023-02-03 05:20:53.369990
"arturgierada.eu,schrony.eu",AVAILABILITY,origin.list,2023-02-03 05:20:53.567654
"argentointernational.pl,bilera.pl,biurotech.net.pl,brewa.pl,dekavit.pl,gdanska1.pl,jesienna.mediaprod.com.pl,kalisz.caritas.pl,lanko.pl,letniskowo.pl,opiekun.kalisz.pl,parafia-slupia.pl,parafiachynowa.pl,przp.pl,radiorodzina.kalisz.pl,technikum.kalisz.pl,tygodnikkepinski.pl",AVAILABILITY,origin.list,2023-02-03 05:20:53.632719
"are.waw.pl,ebok.asta-net.pl,studia.gov.pl",AVAILABILITY,origin.list,2023-02-03 05:20:53.777171
"aspsklep.pl,bip.izabelin.pl,enerpol.pl,florexpol.eu,gckis.trzebnica.pl,infopodlaskie.pl,klublifestyle.pl,portczystejenergii.pl,pspbieniedzice.szkolnastrona.pl,sgurp.pl,sposiny.szkolnastrona.pl,zslegnickiepole.szkolnastrona.pl,zwolenpowiat.pl",AVAILABILITY,origin.list,2023-02-03 05:20:53.966636
"aspsklep.pl,bip.izabelin.pl,enerpol.pl,florexpol.eu,gckis.trzebnica.pl,gih.grajewo.pl,infopodlaskie.pl,klublifestyle.pl,mopr.piekary.pl,naszamlawa.pl,portczystejenergii.pl,pspbieniedzice.szkolnastrona.pl,pupgrodziskwlkp.pl,sgurp.pl,sposiny.szkolnastrona.pl,ugporaj.pl,zslegnickiepole.szkolnastrona.pl,zwolenpowiat.pl",AVAILABILITY,origin.list,2023-02-03 05:20:54.033205
"asklepios.pl,dreamswydawnictwo.pl",AVAILABILITY,origin.list,2023-02-03 05:20:54.197611
"arkady.info,e-drogeria.com,krzysztonjan.com",AVAILABILITY,origin.list,2023-02-03 05:20:54.398869
"archiconnect.pl,biznesmeblowy.pl,lazienka.pl,mamkuchnie.pl,meble.com.pl,najlepszedomy.pl",AVAILABILITY,origin.list,2023-02-03 05:20:54.455596
"arg.gdynia.pl,finai.pl,rankinglekarzy.pl",AVAILABILITY,origin.list,2023-02-03 05:20:54.604335
"arka.tv,kurjerzy.pl,legia.net",AVAILABILITY,origin.list,2023-02-03 05:20:54.835529
