subject,idna_subject,expiration_date,epoch,registrar
3dom.pro,3dom.pro,17-feb-2024,1708128000.0,
a4-klub.pl,a4-klub.pl,02-feb-2022,1643760000.0,
acronis.com,acronis.com,09-jan-2025,1736380800.0,
adata.com,adata.com,03-dec-2023,1701561600.0,
adaware.com,adaware.com,24-feb-2022,1645660800.0,
adguard.com,adguard.com,16-dec-2024,1734307200.0,
adidas.pl,adidas.pl,28-mar-2022,1648425600.0,
adjule.pl,adjule.pl,08-jan-2022,1641600000.0,
adrenaline.pl,adrenaline.pl,13-jun-2025,1749772800.0,
aero7.pl,aero7.pl,09-sep-2027,1820448000.0,
aftermarket.pl,aftermarket.pl,11-dec-2023,1702252800.0,
ahrefs.com,ahrefs.com,25-nov-2023,1700870400.0,
aldi.pl,aldi.pl,22-aug-2022,1661126400.0,
alerabat.com,alerabat.com,01-feb-2027,1801440000.0,
allertec.pl,allertec.pl,28-sep-2022,1664323200.0,
allview.pl,allview.pl,24-jul-2022,1658620800.0,
almamarket.pl,almamarket.pl,30-aug-2022,1661817600.0,
almatur.pl,almatur.pl,31-jul-2022,1659225600.0,
alufelgi.sklep.pl,alufelgi.sklep.pl,07-dec-2022,1670371200.0,
amd.com,amd.com,16-nov-2025,1763251200.0,
americanexpress.com,americanexpress.com,03-jun-2022,1654214400.0,
amix.pl,amix.pl,30-mar-2025,1743292800.0,
annapol.com,annapol.com,04-jan-2022,1641254400.0,
antyweb.pl,antyweb.pl,24-mar-2023,1679616000.0,
astar.czest.pl,astar.czest.pl,30-aug-2023,1693353600.0,
atelier801.com,atelier801.com,27-aug-2022,1661558400.0,
aten.com,aten.com,06-nov-2024,1730851200.0,
atlas-roslin.pl,atlas-roslin.pl,27-nov-2027,1827273600.0,
atskaner.pl,atskaner.pl,17-may-2024,1715904000.0,
auto-swiat.pl,auto-swiat.pl,08-apr-2025,1744070400.0,
auto.com.pl,auto.com.pl,31-aug-2022,1661904000.0,
auto4free.pl,auto4free.pl,04-sep-2022,1662249600.0,
autoaukcje.net,autoaukcje.net,25-nov-2022,1669334400.0,
autogielda.pl,autogielda.pl,27-may-2022,1653609600.0,
avast.com,avast.com,05-oct-2028,1854316800.0,
avg.com,avg.com,01-nov-2022,1667260800.0,
az.pl,az.pl,03-dec-2028,1859414400.0,
azjatyckibazar.com,azjatyckibazar.com,04-may-2022,1651622400.0,
babytvchannel.info,babytvchannel.info,23-jan-2022,1642896000.0,
baldowski.pl,baldowski.pl,29-apr-2022,1651190400.0,
balladine.com,balladine.com,29-may-2024,1716940800.0,
bershka.com,bershka.com,02-sep-2026,1788307200.0,
beskidzkapilka.pl,beskidzkapilka.pl,14-sep-2022,1663113600.0,
betsson.com,betsson.com,04-mar-2028,1835740800.0,
bialoleka.waw.pl,bialoleka.waw.pl,19-mar-2022,1647648000.0,
bik.pl,bik.pl,02-mar-2022,1646179200.0,
bimsplus.pl,bimsplus.pl,16-jan-2022,1642291200.0,
bingospa.pl,bingospa.pl,28-feb-2025,1740700800.0,
bitmarket24.pl,bitmarket24.pl,05-feb-2022,1644019200.0,
bizin.pl,bizin.pl,14-apr-2023,1681430400.0,
blendberg.com,blendberg.com,03-sep-2022,1662163200.0,
blikomania.pl,blikomania.pl,19-jun-2022,1655596800.0,
blog4u.pl,blog4u.pl,08-may-2022,1651968000.0,
bluestilo.com,bluestilo.com,25-sep-2022,1664064000.0,
bp.com,bp.com,09-nov-2024,1731110400.0,
braciaprzykawie.pl,braciaprzykawie.pl,21-mar-2022,1647820800.0,
brtvp.pl,brtvp.pl,22-feb-2022,1645488000.0,
bsgoleniow.pl,bsgoleniow.pl,16-jun-2023,1686873600.0,
