idna_subject,checker_type,destination,source,tested_at,session_id
[adblock,AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:42.600866,6dd5b8d4780d4148cab70857
plus,AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:43.163741,6dd5b8d4780d4148cab70857
2.0],AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:43.495687,6dd5b8d4780d4148cab70857
"~dm.pgi.gov.pl,pgi.gov.pl",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:43.832032,6dd5b8d4780d4148cab70857
"1-st.com.pl,agrojd.com,agrospec.pl,allnet24.pl,arx.pl,aspel.com.pl,babysensepolska.pl,bhp.dozamel.pl,bikeman.pl,bosch.com.pl,comarch-esklep.pl,e-oazakrakow.pl,elabrick24.pl,esklep.brandvital.eu,estetiq.pl,galerialazienek.pl,haczykowo.pl,kopalniasrebra.com,kran.tychy.pl,ksiegarniarubikon.pl,oftadirect.pl,papier24h.pl,papieryczerpane.pl,sklep.abydos.pl,sklep.agro-eko.com.pl,sklep.balcamp.pl,sklep.benedetto.com.pl,sklep.budowniczy.com.pl,sklep.kotrak.com,sklep.kskd.pl,sklep.mebloart.eu,sklep.miodyapis.pl,sklep.phalanxgames.pl,sklep.rol-mech.pl,sklep.salvatti.pl,sklep.stalco.pl,sklep.tayama.pl,spawalniczy-sklep.pl,swiatkoralikow.pl,swiatkoralikow2.pl,texasclub.pl,tvprodukt.pl,workstyle.pl",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:44.164812,6dd5b8d4780d4148cab70857
"2x45.info,adainfo24.eu,agromasa.com,alltube.tv,answear.com,atriumsystem.eu,barfnyswiat.org,bip.dzialdowo.eu,bip.gig.eu,bip.konin.eu,bip.piaseczno.eu,business.link,cedc.com,diagprog4.com,edeklaracje.info,eska.tv,evertourist.com,fachowiec.com,feriogaj.com,fokus.tv,gdansk.pl,gdzierodzic.info,grobla.net,imperiaonline.org,informacja-turystyczna.starachowice.eu,jezewo.eu,kolniak24.eu,koneser.eu,koszyki.com,lampy24.net,lot.com,lumarte.eu,mojewypieki.com,muzo.fm,nasze.fm,nowa.tv,odpady.chorzow.eu,plantatekst.info,portalodo.com,prymus.info,radiokampus.fm,rowertour.com,skierniewice.eu,studiuje.eu,telesystem-world.com,vodi.cc,voxmusic.tv,xtb.com,zamawiam.marchewkowepole.com",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:44.498655,6dd5b8d4780d4148cab70857
"3dom.pro,anmur.eu,aoc.com,avenidapoznan.com,bibliotekacyfrowa.eu,bimobject.com,bip.gliwice.eu,budmat.com,canalplus.com,chorzow.eu,corab.eu,damy-rade.info,diamante-wear.com,dpm.eu,eastbook.eu,f1experiences.com,gamet.eu,ims.fm,inkubatorkultury.eu,katowice-airport.com,kler.eu,koszulkomat.eu,maamstyle.com,mateuszgrzesiak.com,media-tech.eu,mg-pmm.com,motogron.com,narzedzia.cz,naszefutrzaki.eu,pkpcargo.com,prochnik.com,profit-plus.eu,radiopark.fm,rocks-jeans.com,sapphiretech.com,secretdelivery.pl,stolmot.com,telko.in,tg.shop,trecnutrition.com,warszawa.promenada.com,wearmedicine.com,yes2move.com",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:44.832648,6dd5b8d4780d4148cab70857
"3mpolska.pl,bosch-professional.com,centrum24.pl,cisco.com,command.pl,e.huawei.com,logitech.com,logitechg.com,post-it.pl,vacansoleil.pl",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:45.164744,6dd5b8d4780d4148cab70857
"3s.pl,antyweb.pl,autopart.pl,bestcasinos.pl,brolerserwis.pl,cieplodlakrakowa.pl,energoret.pl,franciszkanskie.pl,fundacjapozaschematami.pl,grupakety.com,ingtechpoland.com,kancelaria-szip.pl,karmy.com.pl,kozincowka.pl,kpr.pl,kultura.krasnik.eu,mpsmaszyny.pl,no44.pl,norauto.pl,ogrzewamyinteligentnie.pl,olimpijski.pl,ostrereklamy.pl,pelion.eu,pom-eko.com.pl,portal.wfos.szczecin.pl,prevac.pl,przymlynie.pl,softon.pl,spedycje.pl,tbitech.pl",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:45.502715,6dd5b8d4780d4148cab70857
"4fstore.com,aclari.pl,auto-czesci-lipiec.pl,autogielda.pl,bosch-industrial.com,bugbird.pl,diecezjaplocka.pl,~dm.pgi.gov.pl,dreammachines.pl,e-konkursy.info,fotosik.pl,funduszpomerania.pl,haloursynow.pl,interprojekt.pl,janssenmed.pl,jawor-parkiet.pl,junkers.pl,kkm.ztm.kielce.pl,koty.pl,leo.pl,marstudio.pl,mediaexpert.pl,musicexpress.pl,mylead.global,naratunek.org,nck.org.pl,o13.pl,opiniolog.com,oskolaf.pl,panoramafirm.pl,pgi.gov.pl,pojezierze24.pl,powiatnowotomyski.giportal.pl,pracowniakresek.pl,psy.pl,pulawy.eu,rybnik.com.pl,saleswww.proama.pl,skijumping.pl,slaskibiznes.pl,swiatopon.info,swiatpodlog.com.pl,tuwodzislaw.pl,warsztat.pl,website4you.com.pl,wegrow.info,wseit.edu.pl,xio.pl,zabierzow.org.pl",AVAILABILITY,origin.list,origin.list,2021-12-21 16:09:45.838825,6dd5b8d4780d4148cab70857
